Year,AZ,CA,NM,TX
1960,11909.06986,305242.3944,13822.0786,122230.605
1961,17404.22289,335555.4739,15162.41719,137967.4857
1962,22402.51,365249.6519,16502.75578,154929.1475
1963,26034.15,393864.26,17596.76,169908.22
1964,27560,420595.74,18058.46,179398.01
1965,28248.28,439682.56,18602,190238.04
1966,30211.24,462558.89,18869.66,200998.52
1967,30717.92,475745.4,18664.24,211960.26
1968,33589.4,502924.04,19389.79,226621.74
1969,36731.61,517858.36,19867.48,235911.94
1970,39530.13,516602.39,20442.74,241334.01
1971,42362.33,528474.59,21168,251758.43
1972,47523.79,560352.25,22752.45,269432.67
1973,53184.54,587435.41,24693.48,294613.24
1974,53487.46,592356.21,26048.75,312576.54
1975,51205.9,597660.33,27131.16,331015.31
1976,53888.4,626676.37,29386.17,361238.05
1977,58626.97,686426.92,30202.94,389878.96
1978,65022.6,734072.61,32222.34,416448.01
1979,70918.94,757002.94,33893.32,442627.82
1980,72775.72,775815.31,37213.09,480386.25
1981,74058.43,797037.85,40005.07,529982.22
1982,72852.67,801495.4,39164.19,529363.95
1983,77902.97,834661.38,38942.08,518810.01
1984,87214.99,911501.24,40448.77,545647.46
1985,92922.32,960043.19,41293.86,562978.93
1986,100379.65,1011471.95,39172.58,531207.26
1987,105259.82,1078704.21,39317.97,527059.17
1988,109967.02,1137139.97,39718.75,554290.02
1989,110625.04,1177980.42,40615.28,570191.59
1990,110932.43,1214777.49,41777.78,595158.83
1991,111446.1,1200239.13,46024.69,597918.39
1992,122811.66,1199206.38,48479.31,618499.91
1993,129569.73,1199134.86,53505.45,643896.84
1994,142594.39,1223672.09,59218.17,676204.27
1995,152928.85,1268418.24,58644.13,706476.99
1996,163330.75,1317500.83,60850.41,753608.28
1997,173654.74,1393077.45,65393.26,815331.59
1998,190471.02,1524701.14,67322.32,857692.21
1999,203409.08,1632951.53,69520.05,892144.92
2000,210832.2,1750271.89,70741.51,946335.47
2001,214907.48,1734697.42,70167.13,968804.19
2002,221356.35,1772238.19,71627.65,971302.09
2003,233475.87,1849982.21,76184.61,1005077.86
2004,242299.57,1925245.38,82261.1,1069030.91
2005,261072.5,2006238.57,84286.98,1128339.4
2006,275609.64,2081513.99,85965.92,1204998.97
2007,283633.54,2114753.48,87118.69,1274333.45
2008,275089.69,2111354.47,88799.62,1312406.63
2009,256758.19,2021042.15,86330.88,1224587.18
2010,258254.56,2054523.16,87388.07,1287263.66
2011,262895.12,2089375.96,88286.43,1356752.81
2012,268288.8,2144497.3,87601.6,1411378.7
2013,270452.56,2223743.73,86886.31,1476339.53
2014,274445.02,2311079.56,89234.14,1517604.24
2015,283755.43,2438728.58,86870.98,1497800.36
2016,294034.6,2512076.73,86051.89,1479792.22
2017,303817.06,2615282.15,87451.36,1545202.58
2018,315430.9,2714859.11,90832.54,1632421.66
