,StateCode,Year,BMTCB,CLACB,CLACD,CLACK,CLACV,CLCCB,CLCCD,CLCCV,CLEIB,CLEID,CLEIK,CLEIV,CLHCK,CLICB,CLICD,CLICV,CLKCB,CLKCD,CLKCK,CLKCV,CLOCB,CLOCD,CLOCK,CLOCV,CLOSB,CLPRB,CLPRK,CLRCB,CLRCD,CLRCV,CLRFB,CLTCB,CLTCD,CLTCV,CLTXB,CLTXD,CLTXV,CLXCD,CLXCV,COICB,COPRK,ELEXV,ELIMB,ELIMV,EMFDB,ESTCB,ESTCD,FSICB,FSICD,FSICV,GDP,GETCB,GETXB,GOCCB,GORCB,HYCCB,HYEGB,HYICB,HYTCB,HYTXB,NAICB,NGACB,NGACD,NGACP,NGACV,NGCCB,NGCCD,NGCCV,NGEIB,NGEID,NGEIK,NGEIV,NGICB,NGICD,NGICV,NGISB,NGLPB,NGMPB,NGMPK,NGPZB,NGRCB,NGRCD,NGRCV,NGRFB,NGTCB,NGTCD,NGTCK,NGTCV,NGTXB,NGTXD,NGTXK,NGTXV,NGVHB,NNACB,NNCCB,NNEIB,NNICB,NNRCB,NNTCB,NUEGB,NUEGD,NUEGV,NUETB,NUETD,NUETV,PAEIB,PAEIK,PAEIP,PAPRB,PMTCB,REPRB,RETCB,ROPRB,SGICB,SOEGB,SOHCB,SOTCB,SOTXB,TEACB,TEACD,TEACV,TECCB,TECCD,TECCV,TEEIB,TEGDS,TEICB,TEICD,TEICV,TEPFB,TEPRB,TERCB,TERCD,TERCV,TERFB,TETCB,TETCD,TETCV,TETGR,TETPB,TETPV,TETXB,TETXD,TETXV,TNACB,TNCCB,TNICB,TNRCB,TNSCB,TNTXB,TPOPP,WYEGB,WYTCB,CLEIP,NGEIP,PETCD
1,AZ,1960,4012.94849,3.53784,56.03022725,21.61434,0.002825933,0,0.341410674,0.006364,0,0.487184049,20.662,97.05618823,0,206.04151,0.960306338,20.30532373,0,0,0,0,206.04151,0.960304371,21.61434,20.30532373,12734.85195,132.48678,22.08113,0,0.546734851,0.002625639,0,209.57935,0.520723016,113.3695686,209.57935,0.960340029,20.31013543,0.520723016,113.3695686,0,5.8,0,0,0,0,20941.51508,0,0,3.458872782,0.095579765,NA,0,0,0.113697479,323.6978608,0,32168.50488,0,32168.50488,0,0,16466.85,0.057897191,15910,0.000564635,26171.01,0.895030435,20.78775811,55109.93396,0.51640168,1.035,0.127894106,14159.51105,0.624276819,30.87908309,96815.68588,38.295,0,0,16466.85,28367.28,1.244478311,27.57732356,834.2280851,140274.585,1.082864615,1.035,17.572074,85164.65105,0.889066826,1.035,71.08060657,0,16466.85,26171.01,55109.93396,14159.51105,28367.28,140274.585,0,0.115613692,16.54378889,0,0.115613692,16.54378889,273.69936,6.259275962,43.727,423.4,121479.9737,36181.45337,36181.45337,36181.45337,0,0,0,0,0,116694.7553,2.010836891,196.5144153,67140.96273,5.209219323,231.295717,87694.71261,13.46124365,50409.18846,1.91682915,198.5653733,127102.9872,36737.34015,48883.80586,5.781276161,236.058074,1527.359983,283128.7124,2.808469656,782.4761817,22.13619338,214.32908,571.650451,283128.7124,2.808470066,782.4761817,116694.7553,39277.51611,37914.37613,37454.61923,310970.9268,231341.2668,1321,0,0,0,53246.313,0
2,AZ,1961,3836.9629,0.94946,48.76102163,21.5836,0.002587636,0,0.355618568,0.006594986,0,0.500155798,20.662,101.2264857,0,209.71986,0.979691856,20.57052223,0,0,0,0,209.71986,0.979689901,21.5836,20.57052223,12822.79849,0,0,0,0.56840604,0.002676598,0,210.66932,0.533999582,117.9722556,210.66932,0.979726533,20.57577124,0.533999582,117.9722556,0,5.8,0,0,0,0,22730.64164,0,0,3.291717428,0.090676266,NA,0,0,0.12981915,342.1345066,0,31245.74745,0,31245.74745,0,0,16083.9,0.064620581,15540,0.000705232,14483.79,0.944160596,22.09952143,62755.67871,0.544956848,1.035,0.157089246,39919.42629,0.660330758,31.97716856,92570.89395,40.365,0,0,16083.9,25850.16,1.312705212,29.42485361,821.0970747,159092.955,1.131136313,1.035,19.59646987,96337.27629,0.940109764,1.035,75.37825164,0,16083.9,14483.79,62755.67871,39919.42629,25850.16,159092.955,0,0.119950584,17.42170416,0,0.119950584,17.42170416,171.64842,6.25928673,27.423,423.4,126909.3727,35082.71035,35082.71035,35082.71035,0,0,0,0,0,121244.9018,2.107043948,213.6535448,50858.74178,5.370788611,244.1601193,94246.28047,13.27304046,81589.56164,1.995259986,207.996291,131368.7457,35506.11035,51276.94309,5.970144001,250.5748565,1522.930903,304970.1483,2.925218052,836.8681779,21.55692479,216.75206,591.548446,304970.1483,2.925218464,836.8681779,121244.9018,26425.76388,65308.12342,36752.73453,318415.4051,249731.5236,1407,0,0,0,60633.506,0
3,AZ,1962,3672.12878,0.90157,42.4349025,21.57394,0.002369433,0,0.370417727,0.006834356,6064.71024,0.513472932,20.662,105.575972,0,225.3713,0.999468706,20.83918436,0,0,0,0,225.3713,0.999466764,21.57394,20.83918436,12911.35238,0,0,0,0.59093622,0.002728547,0,6290.98311,0.547614652,122.761807,226.27287,0.999504394,20.8448813,0.547614652,122.761807,0,5.8,0,0,0,0,24915.34865,0,0,3.132640113,0.086024331,NA,0,0,0.148226784,361.6212363,0,30861.24516,0,30861.24516,0,0,15547.77,0.072124732,15022,0.000880838,12949.92,0.995987618,23.49406054,62289.47021,0.575091014,1.035,0.192948931,49739.9648,0.698466926,33.11430285,88512.21089,42.435,243.57,1.059,15547.77,22933.53,1.384672565,31.39615807,808.1727504,163460.655,1.181559857,1.035,21.85408685,101171.1848,0.99408317,1.035,79.93573907,0,15547.77,12949.92,62289.47021,49739.9648,22933.53,163460.655,0,0.124450161,18.34620702,0,0.124450161,18.34620702,620.98928,6.259278507,99.211,226.2,135914.9555,34533.37394,34533.37394,34533.37394,0,0,0,0,0,129741.3228,2.207853964,232.2874744,48974.52925,5.537369137,257.7400248,99810.33829,13.08746855,97960.76465,2.076899974,217.8751327,135777.6693,35003.14394,48408.62495,6.165181942,265.9843726,1518.514666,325085.2416,3.046819692,895.0411061,20.99281473,220.99609,612.13905,325085.2416,3.046820105,895.0411061,129741.3228,25085.14942,76055.28788,34353.20936,326038.1002,265234.9695,1471,0,0,293.52,60183.063,0
4,AZ,1963,4027.53031,0.59375,36.92951645,21.54408,0.00216963,0,0.385832756,0.007082415,8271.91078,0.527144648,20.652,110.1123465,0,159.51452,1.019644788,21.11135536,0,0,0,0,159.51452,1.01964286,21.54408,21.11135536,13000.51783,0,0,0,0.61435944,0.002781503,0,8432.01905,0.561576859,127.7458092,160.10827,1.019681513,21.11751104,0.561576859,127.7458092,0,5.8,0,0,0,0,26829.48748,0,0,2.981250456,0.081611052,26034.15,0,0,0.16924452,382.2178588,0,30833.67301,0,30833.67301,0,0,15600.345,0.080500314,14485,0.001100172,14307.945,1.050659537,24.97659881,59980.65557,0.606891491,1.077,0.236994518,54513.06044,0.738805577,34.29187456,84631.47694,45.234,1412.706,1.059,15600.345,25130.718,1.460585433,33.49952917,795.451859,169532.724,1.23423117,1.077,24.37179326,109552.0684,1.051155286,1.077,84.76877935,0,15600.345,14307.945,59980.65557,54513.06044,25130.718,169532.724,0,0.129118525,19.3197697,0,0.129118525,19.3197697,554.11511,6.259278073,88.527,394.4,144419.0982,34861.20332,34861.20332,34861.20332,0,0,0,0,0,136746.0935,2.313487162,252.5465739,53418.13671,5.70911633,272.075229,99652.526,12.90449115,105546.5352,2.161880423,228.2231727,140334.5626,36668.30932,52769.80682,6.366591555,282.3415224,1514.111236,348480.5723,3.173476326,957.2577889,20.44346653,229.1128,633.4463713,348480.5723,3.17347674,957.2577889,136746.0935,27445.10026,82976.51931,37175.95243,333843.2786,284343.6655,1521,0,0,400.538,55692.345,0
5,AZ,1964,4089.10173,0.4163,32.13838384,21.51422,0.001986676,0,0.401889286,0.007339476,8989.69557,0.541180386,20.786,114.8436393,0,112.6136,1.04022816,21.38708106,0,0,0,0,112.6136,1.040226248,21.51422,21.38708106,13090.29905,0,0,0,0.638711096,0.002835488,0,9102.72547,0.575895051,132.9321567,113.0299,1.040265951,21.39370651,0.575895051,132.9321567,0,5.8,0,0,0,0,28594.57308,0,0,2.837176936,0.077424186,27560,0,0,0.193242453,403.9875896,0,30181.71918,0,30181.71918,0,0,18659.85,0.089848521,17358,0.001374121,24446.575,1.108332517,26.55268923,52452.8104,0.640450422,1.075,0.29109465,48610.0896,0.78147391,35.51132169,80920.89009,44.075,2144.475,1.059,18659.85,30453.675,1.540660126,35.74381464,782.9311984,174623,1.289250453,1.075,27.17955276,122170.1896,1.111504016,1.075,89.89403283,0,18659.85,24446.575,52452.8104,48610.0896,30453.675,174623,0,0.133962009,20.3449956,0,0.133962009,20.3449956,696.87699,6.25928046,111.335,371.2,147656.9144,34270.82091,34270.82091,34270.82091,0,0,0,0,0,143725.124,2.424174306,274.5725837,65227.17106,5.886190437,287.2077409,92265.87419,12.72407197,100320.5202,2.250338014,239.0626958,145044.3918,36786.49591,60571.82159,6.574580995,299.7045823,1509.720574,369844.6368,3.305398091,1023.799319,19.90849388,237.68936,655.4953572,369844.6368,3.305398504,1023.799319,143725.124,38362.56427,76412.62178,43395.32988,341835.3087,301895.6399,1556,0,0,432.488,48793.312,0
6,AZ,1965,3695.21696,0.30079,27.96883944,21.42376,0.00181915,0,0.418614013,0.007605868,6937.94175,0.55558984,20.85,119.7782257,0,92.20101,1.061227044,21.66640789,0,0,0,0,92.20101,1.06122515,21.42376,21.66640789,13180.7003,0,0,0,0.664027992,0.00289052,0,7030.44355,0.590578306,138.3290645,92.5018,1.061265929,21.67351432,0.590578306,138.3290645,0,5.8,0,0,0,0,29360.31118,0,0,2.700065991,0.073452117,28248.28,0,0,0.22064316,426.9972445,0,46399.81125,0,46399.81125,0,0,19370.152,0.100282301,18002,0.001716285,20695.784,1.169171291,28.22823518,39531.95378,0.675865041,1.076,0.357544537,59365.35822,0.826606474,36.77413335,77372.9904,37.66,3289.254,1.059,19370.152,27100.136,1.62512481,38.13845498,770.607617,166063.384,1.346722374,1.076,30.310781,126531.4302,1.175317476,1.076,95.32916719,0,19370.152,20695.784,39531.95378,59365.35822,27100.136,166063.384,0,0.138987182,21.42462629,0,0.138987182,21.42462629,294.09232,6.259281047,46.985,562.6,145912.6723,50095.02821,50095.02821,50095.02821,0,0,0,0,0,139447.437,2.540157198,298.5196059,58357.70235,6.068756681,303.1819057,93066.37729,12.54617525,119134.473,2.342415022,250.4170451,149912.2897,53946.88221,58448.68102,6.789365218,318.1354124,1505.342645,375388.2934,3.442803858,1094.966326,19.3875206,236.98756,678.3118237,375388.2934,3.44280427,1094.966326,139447.437,33563.79701,92005.94316,40280.86292,350018.6639,305298.0401,1584,0,0,332.755,36739.734,0
7,AZ,1966,3679.36818,0.13941,24.34024011,21.28324,0.00166575,0,0.436034744,0.007881929,7325.69598,0.570382959,21.244,124.9248407,0,46.90975,1.082649829,21.94938288,0,0,0,0,46.90975,1.082647954,21.28324,21.94938288,13271.72586,0,0,0,0.690348384,0.00294662,0,7372.74514,0.605635931,143.9450813,47.04916,1.082689836,21.95698174,0.605635931,143.9450813,0,5.8,0,0,0,0,32653.49169,0,0,2.569581144,0.069683826,30211.24,0,0,0.251929135,451.3174453,0,54380.45399,0,54380.45399,0,0,21294.04,0.111927718,19790,0.002143649,19313.124,1.233349638,30.00951257,44750.94868,0.713237962,1.076,0.43916333,62171.17132,0.874345584,38.08185163,73980.64501,33.356,3347.499,1.059,21294.04,26918.292,1.714220159,40.69352314,758.4780125,174447.576,1.406756265,1.076,33.80274331,129696.6273,1.242794583,1.076,101.0929183,0,21294.04,19313.124,44750.94868,62171.17132,26918.292,174447.576,0,0.144200858,22.56154884,0,0.144200858,22.56154884,97.78263,6.259290104,15.622,765.6,159353.1301,58059.82217,58059.82217,58059.82217,0,0,0,0,0,148696.974,2.661689208,324.5551828,59738.92263,6.256985403,320.0445352,106451.0719,12.37076573,132001.1828,2.438259541,262.3106723,154943.5611,62172.92117,63155.29896,7.011166202,337.6996768,1500.977411,403592.3784,3.585921597,1171.080342,18.88018036,250.05724,701.9224853,403592.3784,3.585922008,1171.080342,148696.974,32947.79071,102666.1286,41020.99058,358397.9241,325331.8839,1614,0,0,344.836,41590.101,0
8,AZ,1967,4180.13105,0.05283,21.18240516,21.13306,0.001525285,0,0.454180443,0.00816801,7161.55556,0.58556996,20.854,130.2925948,0,22.05066,1.104505072,22.23605368,0,0,0,0,22.05066,1.104503217,21.13306,22.23605368,13363.38004,22.08113,22.08113,0,0.717712051,0.003003809,0,7183.65905,0.621077471,149.7891024,22.10349,1.104546231,22.24415662,0.621077471,149.7891024,0,5.8,0,0,0,0,34200.99064,0,0,2.445402178,0.066108859,30717.92,0,0,0.287651287,477.0228356,0,52242.53798,0,52242.53798,0,0,25266.06,0.124925474,23724,0.002677429,24851.775,1.301050874,31.90319335,42539.93613,0.752677472,1.065,0.539413725,49402.155,0.924841778,39.43607344,70737.03379,35.145,1329.045,1.059,25266.06,27025.44,1.808200045,43.41976692,746.5393318,169085.3661,1.469466334,1.065,37.69699814,126545.43,1.314145672,1.065,107.2051549,0,25266.06,24851.775,42539.93613,49402.155,27025.44,169085.3661,0,0.149610109,23.7588035,0,0.149610109,23.7588035,103.56594,6.25927354,16.546,16959.2,167968.5108,56422.66903,56422.66903,56422.66903,0,0,0,0,0,159735.1847,2.78903583,352.8614691,69119.15283,6.451052233,337.8450448,101931.2556,12.19780863,119086.6269,2.538025727,274.7691907,160143.6893,74732.99516,66565.87181,7.240213177,358.4670782,1496.624836,414506.8362,3.734988758,1252.485245,18.3861164,251.82675,726.3549861,414506.8362,3.734989166,1252.485245,159735.1847,39844.79855,90462.26595,42771.35085,366977.7795,332813.6,1646,0,0,343.414,39943.602,0
9,AZ,1968,4147.20373,0.04877,18.43425891,21.11286,0.001396665,0,0.473081279,0.008464474,8114.70867,0.601161329,21.056,135.8909898,0,22.41046,1.126801502,22.52646855,0,0,0,0,22.41046,1.126799669,21.11286,22.52646855,13455.66717,0,0,0,0.746160345,0.003062108,0,8137.1679,0.636912715,155.8703848,22.45923,1.126843843,22.53508746,0.636912715,155.8703848,0,5.8,0,0,0,0,36635.50382,0,0,2.327224352,0.062717297,33589.4,0,0,0.328438642,504.192311,0,59219.32388,89.82499,59309.14887,89.82499,0,27869.476,0.139432613,25901,0.003344124,25166.564,1.372468377,33.91637047,50418.46126,0.794297847,1.076,0.662548867,57801.644,0.978254285,40.83845249,67635.63562,21.52,932.979,1.059,27869.476,28708.756,1.907332256,46.32865413,734.7885697,189964.9013,1.534971878,1.076,42.03989172,139546.44,1.389593157,1.076,113.6869468,0,27869.476,25166.564,50418.46126,57801.644,28708.756,189964.9013,0,0.155222272,25.01959186,0,0.155222272,25.01959186,313.20198,6.259282545,50.038,19546,188614.2228,63456.3526,63456.3526,63456.3526,0,0,0,0,0,183621.285,2.922475261,383.6365061,71949.42142,6.651138245,356.6355983,117937.0257,12.02726967,128496.4266,2.641874044,287.8194298,165518.3412,83935.3316,72081.0764,7.47674286,380.5116053,1492.284882,456148.2095,3.890252656,1339.548818,17.9049813,271.19394,751.6379329,456148.2095,3.890253061,1339.548818,183621.285,41218.42673,98217.82774,45684.91312,375763.0319,368742.4526,1682,0,0,385.387,46857.306,0
10,AZ,1969,4389.1241,0.07319,16.04264951,20.85202,0.001278891,0,0.492768679,0.008771699,8337.76454,0.617167833,21.006,141.729936,0,43.60929,1.149548026,22.82067639,0,0,0,0,43.60929,1.149546216,20.85202,22.82067639,13548.59165,0,0,0,0.775736257,0.003121539,0,8381.44702,0.653151701,162.198561,43.68248,1.14959158,22.82982337,0.653151701,162.198561,0,5.8,0,0,0,0,42469.30048,0,0,2.214757651,0.059499731,36731.61,0,0,0.375009418,532.9092603,0,63339.75357,111.1847,63450.93827,111.1847,0,28939.02,0.155624412,26895,0.00417683,26363.076,1.447806141,36.05658447,61534.1223,0.838219679,1.076,0.813792792,62909.416,1.034751531,42.29070129,64670.21532,36.584,1203.024,1.059,28939.02,30586.376,2.011899261,49.4324209,723.2227682,210332.0103,1.603397514,1.076,46.88310962,148797.888,1.469372218,1.076,120.5606381,0,28939.02,26363.076,61534.1223,62909.416,30586.376,210332.0103,0,0.161044958,26.34728541,0,0.161044958,26.34728541,289.542,6.25928488,46.258,14111.4,201346.9758,67840.06237,67840.06237,67840.06237,0,0,0,0,0,192908.5695,3.062299007,417.0956076,79625.34837,6.85743013,376.4712608,133350.8227,11.85911502,143598.8877,2.749971518,301.4894937,171073.3741,83154.48637,82045.8504,7.720999705,403.9117971,1487.957514,498178.656,4.051970892,1432.664412,17.43643673,286.80406,777.8009279,498178.656,4.051971293,1432.664412,192908.5695,44587.67539,109180.4355,50191.93316,384758.5987,396868.6136,1737,0,0,396.923,57187.846,0
